booking_id;fecha_reserva;check_in;check_out;noches;ingresos_total;plataforma;uso_tinaja
;;31-12-2025;03-01-2026;3;453221;Airbnb;si
;;16-01-2026;18-01-2026;2;385560;Booking;no
;;18-01-2026;22-01-2026;4;617151;Airbnb;si
;;29-01-2026;08-02-2026;10;1650000;Whatsapp;si
;;09-02-2026;20-02-2026;11;1760000;Booking;si
;;20-02-2026;22-02-2026;2;333200;Gofeels;no
;;22-02-2026;25-02-2026;3;495000;Whatsapp;si
;;25-02-2026;27-02-2026;2;289290;Airbnb;no
;;04-03-2026;07-03-2026;3;462870;Airbnb;si
;;13-03-2026;15-03-2026;2;340000;Instagram;no
;;27-03-2026;29-03-2026;2;351000;Whatsapp;si
;;03-04-2026;05-04-2026;2;350000;Whatsapp;no
;;;;;;;
